Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Gender-Neutral,163
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,164
"Visvesvaraya National Institute of Technology, Nagpur","Architecture (5 Years, Bachelor of Architecture)",OS,EWS,Female-only (including Supernumerary),164
"National Institute of Technology, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS (PwD),Gender-Neutral,164
Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",OS,EWS,Female-only (including Supernumerary),165
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,165
"National Institute of Technology, Warangal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,165
Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,165
"Visvesvaraya National Institute of Technology, Nagpur","Architecture (5 Years, Bachelor of Architecture)",OS,SC,Female-only (including Supernumerary),166
"School of Planning & Architecture, Bhopal","Architecture (5 Years, Bachelor of Architecture)",AI,ST,Gender-Neutral,166
Motilal Nehru National Institute of Technology Allahabad,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Gender-Neutral,167
National Institute of Technology Hamirpur,"Architecture (5 Years, Bachelor of Architecture)",OS,SC,Female-only (including Supernumerary),167
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,167
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Gender-Neutral,167
"National Institute of Technology, Tiruchirappalli","Architecture (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Gender-Neutral,168
"National Institute of Technology, Tiruchirappalli","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Gender-Neutral,169
Motilal Nehru National Institute of Technology Allahabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS (PwD),Gender-Neutral,170
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,170
Indian Institute of Information Technology Lucknow,"Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC (PwD),Female-only (including Supernumerary),170
"National Institute of Technology, Kurukshetra","Mathematics and Computing (4 Years, Bachelor of Technology)",OS,SC (PwD),Gender-Neutral,171
"School of Planning & Architecture, New Delhi","Architecture (5 Years, Bachelor of Architecture)",AI,SC,Gender-Neutral,172
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,173
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,173
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),174
"Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,175
"National Institute of Technology, Jamshedpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Gender-Neutral,176
"National Institute of Technology, Warangal","Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,176
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,177
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),177
"National Institute of Technology, Jamshedpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,178
"National Institute of Technology, Rourkela","Civil Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,178
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,179
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,179
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,180
Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,181
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",OS,EWS,Gender-Neutral,181
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,181
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,183
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,184
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,186
"Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,188
"School of Planning & Architecture, Bhopal","Planning (4 Years, Bachelor of Planning)",AI,ST,Gender-Neutral,189
Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,192
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Female-only (including Supernumerary),193
"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,193
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,194
"National Institute of Technology, Kurukshetra","Architecture and Planning (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,195
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,195
School of Planning & Architecture: Vijayawada,"Architecture (5 Years, Bachelor of Architecture)",AI,ST,Gender-Neutral,196
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS (PwD),Gender-Neutral,197
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,197
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Gender-Neutral,198
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,198
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,198
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC (PwD),Female-only (including Supernumerary),199
National Institute of Technology Raipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Gender-Neutral,200
National Institute of Technology Raipur,"Architecture (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,201
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,201
"National Institute of Technology, Warangal","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,201
"National Institute of Technology, Warangal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Female-only (including Supernumerary),201
"National Institute of Technology, Kurukshetra","Mathematics and Computing (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,202
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,202
"National Institute of Technology, Warangal","Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,202
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","Architecture (5 Years, Bachelor of Architecture)",AI,ST,Gender-Neutral,202
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,203
National Institute of Technology Patna,"Architecture (5 Years, Bachelor of Architecture)",OS,SC,Gender-Neutral,203
National Institute of Technology Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Gender-Neutral,204
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,204
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OPEN (PwD),Gender-Neutral,206
"National Institute of Technology, Warangal","Electronics and Communication Engineering (VLSI Design and Technology) (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,208
"National Institute of Technology, Kurukshetra","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",HS,EWS (PwD),Gender-Neutral,209
"National Institute of Technology, Andhra Pradesh","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,210
Maulana Azad National Institute of Technology Bhopal,"Architecture (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,211
Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,211
"National Institute of Technology, Rourkela","Civil Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PwD),Gender-Neutral,212
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,212
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),213
"National Institute of Technology, Uttarakhand","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,213
"National Institute of Technology, Warangal","Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS (PwD),Gender-Neutral,213
"Jawaharlal Nehru University, Delhi","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,215
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,217
National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",OS,OBC-NCL,Female-only (including Supernumerary),217
"Visvesvaraya National Institute of Technology, Nagpur","Architecture (5 Years, Bachelor of Architecture)",OS,ST,Gender-Neutral,217
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,EWS (PwD),Gender-Neutral,218
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,OBC-NCL (PwD),Gender-Neutral,219
"Indian Institute of Engineering Science and Technology, Shibpur","Architecture (5 Years, Bachelor of Architecture)",HS,OPEN,Female-only (including Supernumerary),219
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS (PwD),Gender-Neutral,219
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",HS,SC,Female-only (including Supernumerary),221
National Institute of Technology Agartala,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PwD),Gender-Neutral,221
"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),222
"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,223
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,224
